"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\App.js", "JavaScript", -4, 0, 4, 0, 0
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\Service\AuthService.js", "JavaScript", -1, 0, 1, 0, 0
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\Service\AuthorService.js", "JavaScript", 14, 0, 9, 1, 24
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\Service\BookService.js", "JavaScript", 54, 0, 10, 3, 67
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\Service\LocalStorageService.js", "JavaScript", 1, 0, 5, 1, 7
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\Service\UserService.js", "JavaScript", -29, 0, 23, -6, -12
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\components\HeaderAdmin.css", "CSS", 0, 24, 0, 8, 32
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\config\AxiosConfig.js", "JavaScript", -1, 0, 1, 0, 0
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\Login.js", "JavaScript", 0, 0, 2, 0, 2
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\Signin.js", "JavaScript", -2, 0, 2, 0, 0
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\add-author\AddAuthor.js", "JavaScript", -1, 0, 1, 0, 0
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\add-book\AddBookCard.js", "JavaScript", -3, 0, 3, 0, 0
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\add-user\AddUserCard.js", "JavaScript", -1, 0, 1, 0, 0
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\author-management\Author.js", "JavaScript", -2, 0, 2, 0, 0
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\author-management\AuthorFilter.js", "JavaScript", -1, 0, 0, 4, 3
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\author-management\AuthorManagement.js", "JavaScript", 42, 0, 8, 8, 58
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\book-management\AddBook.js", "JavaScript", -1, 0, 1, 0, 0
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\book-management\Book.js", "JavaScript", 0, 0, 5, -3, 2
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\book-management\BookList.js", "JavaScript", 0, 0, 1, 1, 2
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\book-management\BookManagement.js", "JavaScript", 64, 0, 15, 10, 89
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\user-management\User.js", "JavaScript", -1, 0, 1, 0, 0
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\user-management\UserList.js", "JavaScript", -1, 0, 1, 0, 0
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\user-management\UserManagement.js", "JavaScript", 10, 0, 5, 4, 19
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\user\BookItem.js", "JavaScript", 28, 0, 1, 7, 36
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\user\BookManagament\BookFilter.js", "JavaScript", 2, 0, 0, 3, 5
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\user\BookManagament\BookManagement.js", "JavaScript", 50, 0, 10, 7, 67
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\user\favorite-list\FavoriteList.js", "JavaScript", -2, 0, 3, -3, -2
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\user\reading-list\ReadingList.js", "JavaScript", -2, 0, 3, 1, 2
"Total", "-", 213, 24, 118, 46, 401
